stop_id,stop_name,stop_lat,stop_lon,zone_id
880362,GARAVENTA RANCH RD & PERIWINKLE COM,37.72273,-121.721406,
880365,GARAVENTA RANCH RD & SCENIC AVE,37.717279,-121.717392,
881246,GIBRALTER DR & HART MIDDLE SCHOOL,37.68711,-121.896776,
880715,GLEASON DR & ARNOLD RD,37.713849,-121.891738,
880716,GLEASON DR & HACIENDA DR,37.713812,-121.889493,
880765,GLEASON DR & MADDEN WY,37.714647,-121.858423,
881216,GREENWOOD RD & VALLEY AVE,37.675394,-121.880486,
880717,HACIENDA DR & CENTRAL PKWY,37.709279,-121.888112,
881135,HACIENDA DR & GIBRALTAR DR,37.696013,-121.892887,
881113,HACIENDA DR & GIBRALTAR DR,37.694845,-121.894548,
880712,HACIENDA DR & GLEASON DR,37.713597,-121.887844,
880710,HACIENDA DR & HAVEN PL,37.706941,-121.887885,
881112,HACIENDA DR & OWENS DR,37.697065,-121.890516,
881134,HACIENDA DR & STONERIDGE DR,37.692142,-121.894745,
880711,HACIENDA DR & SUMMER GLEN DR,37.710813,-121.88787,
881160,HANSEN DR & CALLE REYNOSO,37.668607,-121.902662,
881223,HANSEN DR & CAMINO MORELIA,37.668883,-121.901357,
881161,HANSEN DR & DEL PRADO PARK,37.668395,-121.906943,
881158,HANSEN DR & VALLEY AVE,37.669632,-121.899354,
881066,HARVEST PARK MIDDLE SCHOOL,37.6766,-121.881733,
880319,HEATHER LN & IRIS WY,37.713055,-121.734034,
881078,HOPYARD RD & GIBRALTAR DR,37.69683,-121.903477,
881075,HOPYARD RD & LAS POSITAS BLVD,37.682429,-121.903739,
881062,HOPYARD RD & LAS POSITAS BLVD,37.682465,-121.904014,
881074,HOPYARD RD & PARKSIDE DR,37.677618,-121.899428,
881077,HOPYARD RD & STONERIDGE DR,37.692298,-121.903526,
881063,HOPYARD RD & VALLEY TRAILS DR,37.677966,-121.90048,
880076,JACK LONDON BLVD & ARLINGTON RD,37.689063,-121.797392,
880075,JACK LONDON BLVD & MURIETTA  BLVD,37.689047,-121.792023,
880074,JACK LONDON BLVD & ROMA  ST,37.68906,-121.794656,
880070,JACK LONDON BLVD & TURINO ST,37.689041,-121.793878,
880894,JORGENSEN LN & LYLEWOOD DR,37.657867,-121.908197,
880900,JORGENSEN LN & LYLEWOOD DR,37.657582,-121.909697,
880359,JUNCTION AVE & CHESTNUT ST,37.686753,-121.766786,
880327,JUNCTION AVE & CHESTNUT ST OUTBOUND,37.686797,-121.766694,
881250,KAMP DR & CAMERON AVE,37.685085,-121.868216,
881255,KAMP DR & CAMERON AVE,37.684817,-121.868205,
881249,KAMP DR & EILENE DR,37.688191,-121.869666,
881256,KAMP DR & EILENE DR,37.688486,-121.869952,
881254,KAMP DR & MOHR AVE,37.68232,-121.868917,
880742,KEEGAN ST & FINNIAN WY,37.707145,-121.860116,
881273,KIRCALDY ST & STACEY WY,37.699917,-121.86016,
881101,KOTTINGER DR & ADAMS WY,37.659313,-121.864162,
881102,KOTTINGER DR & AMARAL CIR,37.660314,-121.866529,
881098,KOTTINGER DR & BERNAL AVE,37.656838,-121.859725,
881103,KOTTINGER DR & SECOND ST,37.661592,-121.869617,
881100,KOTTINGER DR & SHARAB CT,37.658499,-121.861965,
881099,KOTTINGER & SALVADOR,37.658311,-121.860478,
880931,LAS POSITAS BLVD & DMV,37.680744,-121.905824,
880934,LAS POSITAS BLVD & DORMAN RD,37.68177,-121.904988,
881279,LAS POSITAS BLVD & FAIRLANDS SCHOOL,37.691827,-121.875981,
881276,LAS POSITAS BLVD & GULFSTREAM ST,37.695291,-121.865295,
881081,LAS POSITAS BLVD & HACIENDA DR,37.685396,-121.893675,
881084,LAS POSITAS BLVD & HACIENDA DR,37.684781,-121.895461,
881110,LAS POSITAS BLVD & HACIENDA DR,37.68511,-121.89379,
881108,LAS POSITAS BLVD & HOPYARD RD,37.681724,-121.90263,
881086,LAS POSITAS BLVD & HOPYARD RD,37.682009,-121.902629,
881274,LAS POSITAS BLVD & MEADOWS PARK,37.696793,-121.85847,
881275,LAS POSITAS BLVD  & MELBOURNE CT,37.695545,-121.859765,
880935,LAS POSITAS BLVD & MUIRWOOD DR,37.677295,-121.91614,
881277,LAS POSITAS BLVD & ROCKINGHAM DR,37.693972,-121.868537,
881022,LAS POSITAS BLVD & SANTA RITA RD,37.691964,-121.880091,
881052,LAS POSITAS BLVD & SANTA RITA RD,37.692142,-121.879415,
881079,LAS POSITAS BLVD & STONERIDGE DR,37.688336,-121.885853,
881111,LAS POSITAS BLVD & STONERIDGE DR,37.68904,-121.884536,
881278,LAS POSITAS BLVD & SUFFOLK WY,37.692814,-121.870988,
881083,LAS POSITAS BLVD & TASSAJARA CREEK,37.686991,-121.889632,
881109,LAS POSITAS BLVD & WILLOW RD,37.683854,-121.897557,
881085,LAS POSITAS BLVD & WILLOW RD,37.683542,-121.899137,
880018,LAS POSITAS COLLEGE,37.710383,-121.799763,
880392,LAS POSITAS RD & ARROYO VISTA,37.697222,-121.741696,
880393,LAS POSITAS RD & BENNETT DR,37.697403,-121.733475,
880388,LAS POSITAS RD & BENNETT DR,37.697367,-121.733189,
880387,LAS POSITAS RD & CONTRACTORS ST,37.695949,-121.738609,
880390,LAS POSITAS RD & KAISER DEPOT,37.704384,-121.716427,
880382,LAS POSITAS RD & LAWERENCE  DR,37.709751,-121.70513,
880375,LAS POSITAS RD & LAWRENCE DR,37.709787,-121.705416,
880383,LAS POSITAS RD & MOUNTAIN VISTA  PKWY,37.712284,-121.700437,
880369,LAS POSITAS RD & NORTH MINES RD,37.699995,-121.761496,
880367,LAS POSITAS RD & NORTH MINES RD,37.699932,-121.761222,
880351,LAS POSITAS RD & PLAZA DR,37.698822,-121.743397,
880376,LAS POSITAS RD & PRESTON AVE,37.707039,-121.70996,
880381,LAS POSITAS RD & PRESTON AVE,37.707083,-121.709799,
880380,LAS POSITAS RD & PULLMAN ST,37.70537,-121.713973,
880379,LAS POSITAS RD & VASCO RD,37.703363,-121.718892,
880385,LAS POSTIAS RD & ARROYO VISTA,37.697151,-121.741914,
880326,LIVERMORE HIGH SCHOOL,37.680597,-121.761948,
880546,LIVERMORE LIBRARY,37.673456,-121.75439,
880352,LIVERMORE TARGET,37.699923,-121.745112,
880334,LIVERMORE TARGET,37.701099,-121.74915,
880901,LIVERMORE TRANSIT CENTER,37.685146,-121.766573,
880906,LIVERMORE TRANSIT CENTER,37.685191,-121.766572,
880896,LYLEWOOD DR & REGENCY DR,37.657001,-121.90647,
881146,MADEIRA DR & SYLVANER DR,37.660229,-121.850016,
880713,MADIGAN AVE & BRODER BLVD,37.715807,-121.88341,
881043,MAIN ST & VERVAIS AVE,37.665512,-121.87371,
880521,MAPLE ST & FOURTH ST,37.682029,-121.764211,
880487,MAPLE ST & SECOND ST,37.682306,-121.764691,
881289,MARTIN AVE & MOHR AVE,37.682208,-121.862656,
881288,MARTIN AVE & MOHR AVE,37.682395,-121.862633,
880537,MINES RD & CHARLOTTE WY,37.687383,-121.738165,
880531,MINES RD & DANA CIR,37.681825,-121.733568,
880535,MINES RD & DANA CIR,37.6848,-121.735803,
880536,MINES RD & EAST AVE,37.681557,-121.73366,
880530,MINES RD & EAST AVE,37.680744,-121.733067,
880533,MINES RD & FIRST ST,37.694036,-121.74664,
880532,MINES RD & PATTERSON PASS RD,37.689057,-121.741079,
881253,MOHR AVE & KOLLN ST,37.681894,-121.872753,
881252,MOHR AVE & KOLLN ST,37.681904,-121.873623,
880916,MUIRWOOD DR & ARROWWOOD CT,37.670005,-121.915606,
880983,MUIRWOOD DR & EASTWOOD WY,37.670646,-121.913763,
880973,MUIRWOOD DR & FOOTHILL RD,37.669452,-121.918536,
880984,MUIRWOOD DR & FOOTHILL RD,37.669434,-121.918525,
880929,MUIRWOOD DR & LAS POSITAS BLVD,37.677384,-121.916357,
880842,MUIRWOOD DR & LAS POSITAS BLVD NB,37.677553,-121.916403,
880969,MUIRWOOD DR & LEMONWOOD WY,37.671137,-121.913614,
880981,MUIRWOOD DR & OAK HILL PARK,37.674599,-121.914012,
880908,MUIRWOOD DR & PALM CT,37.676179,-121.915488,
880974,MUIRWOOD DR & PECAN CT,37.674644,-121.914195,
880928,MUIRWOOD DR & SANDALWOOD DR,37.680266,-121.916481,
880975,MUIRWOOD DR & SUNDROP CT,37.673109,-121.913544,
880843,MUIRWOOD PARK,37.682818,-121.917533,
880927,MUIRWOOD PARK,37.684702,-121.919478,
880002,MURRIETA BLVD & OLIVINA AVE,37.683326,-121.790903,
880003,MURRIETA BLVD & PINE ST,37.688216,-121.7908,
880033,MURRIETA BLVD & PINE ST,37.687868,-121.790973,
881041,NEAL ST & FIRST ST,37.659713,-121.873945,
881032,NEAL ST & FIRST ST,37.65974,-121.873911,
880021,NORTH CANYON PKWY & CONSTITUTION DR,37.704436,-121.817936,
880016,NORTH CANYON PKWY & INDEPENDENCE DR,37.704232,-121.811157,
880020,NORTH CANYON PKWY & INDEPENDENCE  DR,37.704091,-121.813047,
880015,NORTH CANYON PLWY & CONSTITUTION DR,37.704568,-121.816848,
880754,NORTH DUBLIN RANCH DR & SHADOW  HILL DR,37.719636,-121.870716,
880355,NORTH LIVERMORE AVE & CROMWELL WY,37.693071,-121.773295,
880354,NORTH LIVERMORE AVE & LAS POSITAS RD,37.696203,-121.773448,
880087,OLIVINA AVE & ADELLE ST EB,37.683007,-121.779353,
880086,OLIVINA AVE & ALBATROSS  AVE EB,37.682901,-121.786519,
880040,OLIVINA AVE & ALBATROSS AVE WB,37.682937,-121.786966,
880037,OLIVINA AVE & JAMES ST,37.68301,-121.781746,
880085,OLIVINA AVE & MARIPOSA AVE EB,37.682869,-121.78937,
880041,OLIVINA AVE & MEADOWLARK ST,37.682913,-121.788912,
880036,OLIVINA AVE & P ST,37.683024,-121.779067,
880038,OLIVINA AVE & RINCON AVE,37.682977,-121.783623,
881053,OWENS & ANDREWS,37.693331,-121.883753,
881013,OWENS DR & CHABOT DR,37.699863,-121.901448,
881015,OWENS DR & CHABOT DR,37.700024,-121.901448,
881019,OWENS DR & HACIENDA DR,37.697001,-121.888398,
881021,OWENS DR & LAS POSITAS BLVD,37.691751,-121.882564,
881020,OWENS DR & ROSEWOOD DR,37.695465,-121.886316,
881014,OWENS DR & WILLOW RD,37.699843,-121.897109,
881056,OWENS & HACIENDA,37.698394,-121.889885,
881055,OWENS & ROSEWOOD,37.696697,-121.887562,
