trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6055496,08:15:00,08:15:00,12011377,3
RTD6055496,08:18:00,08:18:00,1537439,4
RTD6055496,08:22:00,08:22:00,12011431,5
RTD6055496,08:26:00,08:26:00,12011386,6
RTD6055496,08:30:00,08:30:00,12011322,7
RTD6055496,08:34:00,08:34:00,12011347,8
RTD6055496,08:39:00,08:39:00,12011445,9
RTD6055496,08:44:00,08:44:00,12135124,10
RTD6055432,08:00:00,08:00:00,12135125,1
RTD6055432,08:10:00,08:10:00,12011430,2
RTD6055432,08:15:00,08:15:00,12011377,3
RTD6055432,08:18:00,08:18:00,1537439,4
RTD6055432,08:22:00,08:22:00,12011431,5
RTD6055432,08:26:00,08:26:00,12011386,6
RTD6055432,08:30:00,08:30:00,12011322,7
RTD6055432,08:34:00,08:34:00,12011347,8
RTD6055432,08:39:00,08:39:00,12011445,9
RTD6055432,08:44:00,08:44:00,12135124,10
RTD6055497,08:30:00,08:30:00,12135125,1
RTD6055497,08:40:00,08:40:00,12011430,2
RTD6055497,08:45:00,08:45:00,12011377,3
RTD6055497,08:48:00,08:48:00,1537439,4
RTD6055497,08:52:00,08:52:00,12011431,5
RTD6055497,08:56:00,08:56:00,12011386,6
RTD6055497,09:00:00,09:00:00,12011322,7
RTD6055497,09:04:00,09:04:00,12011347,8
RTD6055497,09:09:00,09:09:00,12011445,9
RTD6055497,09:14:00,09:14:00,12135124,10
RTD6055433,08:30:00,08:30:00,12135125,1
RTD6055433,08:40:00,08:40:00,12011430,2
RTD6055433,08:45:00,08:45:00,12011377,3
RTD6055433,08:48:00,08:48:00,1537439,4
RTD6055433,08:52:00,08:52:00,12011431,5
RTD6055433,08:56:00,08:56:00,12011386,6
RTD6055433,09:00:00,09:00:00,12011322,7
RTD6055433,09:04:00,09:04:00,12011347,8
RTD6055433,09:09:00,09:09:00,12011445,9
RTD6055433,09:14:00,09:14:00,12135124,10
RTD6055498,09:00:00,09:00:00,12135125,1
RTD6055498,09:10:00,09:10:00,12011430,2
RTD6055498,09:15:00,09:15:00,12011377,3
RTD6055498,09:18:00,09:18:00,1537439,4
RTD6055498,09:22:00,09:22:00,12011431,5
RTD6055498,09:26:00,09:26:00,12011386,6
RTD6055498,09:30:00,09:30:00,12011322,7
RTD6055498,09:34:00,09:34:00,12011347,8
RTD6055498,09:39:00,09:39:00,12011445,9
RTD6055498,09:44:00,09:44:00,12135124,10
RTD6055434,09:00:00,09:00:00,12135125,1
RTD6055434,09:10:00,09:10:00,12011430,2
RTD6055434,09:15:00,09:15:00,12011377,3
RTD6055434,09:18:00,09:18:00,1537439,4
RTD6055434,09:22:00,09:22:00,12011431,5
RTD6055434,09:26:00,09:26:00,12011386,6
RTD6055434,09:30:00,09:30:00,12011322,7
RTD6055434,09:34:00,09:34:00,12011347,8
RTD6055434,09:39:00,09:39:00,12011445,9
RTD6055434,09:44:00,09:44:00,12135124,10
RTD6055499,09:30:00,09:30:00,12135125,1
RTD6055499,09:40:00,09:40:00,12011430,2
RTD6055499,09:45:00,09:45:00,12011377,3
RTD6055499,09:48:00,09:48:00,1537439,4
RTD6055499,09:52:00,09:52:00,12011431,5
RTD6055499,09:56:00,09:56:00,12011386,6
RTD6055499,10:00:00,10:00:00,12011322,7
RTD6055499,10:04:00,10:04:00,12011347,8
RTD6055499,10:09:00,10:09:00,12011445,9
RTD6055499,10:14:00,10:14:00,12135124,10
RTD6055435,09:30:00,09:30:00,12135125,1
RTD6055435,09:40:00,09:40:00,12011430,2
RTD6055435,09:45:00,09:45:00,12011377,3
RTD6055435,09:48:00,09:48:00,1537439,4
RTD6055435,09:52:00,09:52:00,12011431,5
RTD6055435,09:56:00,09:56:00,12011386,6
RTD6055435,10:00:00,10:00:00,12011322,7
RTD6055435,10:04:00,10:04:00,12011347,8
RTD6055435,10:09:00,10:09:00,12011445,9
RTD6055435,10:14:00,10:14:00,12135124,10
RTD6055500,10:00:00,10:00:00,12135125,1
RTD6055500,10:10:00,10:10:00,12011430,2
